DATAFLOW,LAST UPDATE,freq,unit,product,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-01,24597,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-02,23096,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-03,21690,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-04,21310,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-05,21517,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-06,21021,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-07,23305,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-08,22273,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-09,21567,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-10,21300,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-11,21970,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2008-12,23283,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-01,24138,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-02,21027,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-03,21798,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-04,19570,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-05,20018,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-06,20548,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-07,22610,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-08,21625,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-09,21273,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-10,20432,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-11,20286,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2009-12,22518,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-01,23613,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-02,21803,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-03,22896,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-04,19562,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-05,20363,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-06,20202,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-07,23301,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-08,21547,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-09,20980,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-10,20676,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-11,21720,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2010-12,23251,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-01,23742,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-02,21377,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-03,22488,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-04,18566,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-05,19625,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-06,20895,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-07,21978,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-08,22044,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-09,21085,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-10,20204,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-11,20655,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2011-12,22002,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-01,23099,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-02,23281,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-03,22149,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-04,19467,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-05,20316,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-06,21221,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-07,21779,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-08,22422,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-09,20567,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-10,20585,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-11,20848,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2012-12,21928,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-01,22960,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-02,21597,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-03,22302,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-04,19770,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-05,19920,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-06,19575,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-07,22343,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-08,21772,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-09,20217,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-10,20458,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-11,21154,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2013-12,22417,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-01,22343,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-02,20898,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-03,21627,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-04,19226,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-05,19709,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-06,20155,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-07,21851,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-08,20871,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-09,19561,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-10,20121,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-11,20226,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2014-12,21917,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-01,23231,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-02,21505,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-03,21638,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-04,19788,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-05,21063,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-06,21809,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-07,25257,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-08,22499,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-09,21028,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-10,21130,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-11,21167,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2015-12,21927,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-01,22713,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-02,21958,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-03,22693,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-04,21045,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-05,20914,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-06,21487,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-07,23686,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-08,22941,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-09,22194,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-10,21162,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-11,21775,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2016-12,22502,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-01,21976.280,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-02,18986.816,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-03,20158.962,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-04,18065.551,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-05,19570.857,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-06,20852.065,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-07,21653.505,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-08,21144.478,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-09,19502.508,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-10,19497.399,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-11,20022.314,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2017-12,21205.999,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,B_107200,ES,2018-01,21586.829,
