DATAFLOW,LAST UPDATE,freq,unit,product,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-01,25505,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-02,24180,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-03,23306,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-04,22821,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-05,22494,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-06,22376,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-07,24460,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-08,23271,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-09,22729,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-10,22701,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-11,23349,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2008-12,24687,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-01,25427,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-02,21884,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-03,22254,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-04,20382,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-05,20739,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-06,21575,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-07,23820,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-08,22727,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-09,22260,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-10,21635,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-11,21554,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2009-12,23471,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-01,24682,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-02,22872,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-03,24010,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-04,20617,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-05,21216,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-06,21281,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-07,24510,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-08,22595,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-09,22193,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-10,22323,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-11,22653,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2010-12,23990,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-01,24780,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-02,22023,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-03,23613,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-04,19914,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-05,20051,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-06,21402,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-07,22674,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-08,22473,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-09,21764,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-10,20882,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-11,21442,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2011-12,22710,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-01,23901,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-02,24912,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-03,23288,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-04,21026,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-05,21479,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-06,22139,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-07,22628,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-08,23422,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-09,21996,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-10,22348,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-11,21977,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2012-12,23476,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-01,23950,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-02,22801,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-03,23785,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-04,20964,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-05,20426,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-06,20314,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-07,23652,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-08,22463,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-09,21257,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-10,21397,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-11,22241,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2013-12,23385,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-01,23087,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-02,21920,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-03,22304,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-04,20321,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2014-05,20362,
