Fecha;Hidráulica;Turbinación bombeo;Nuclear;Carbón;Fuel + Gas;Ciclo combinado;Eólica;Solar fotovoltaica;Solar térmica;Otras renovables;Cogeneración;Residuos no renovables;Residuos renovables;Generación total
01/01/2023;76,795069;11,629361;154,675736;10,647876;-;46,001583;160,764699;33,392982;0,811405;5,229233;19,261664;2,97986;2,133845;524,323313
02/01/2023;136,43443;19,334608;162,687171;12,523569;-;125,941679;96,936318;30,595371;0,194716;9,023174;33,385355;2,9735915;2,0172955;632,047278
03/01/2023;153,681848;11,252745;169,453632;14,381728;-;131,506694;69,070871;52,667047;3,462572;10,782328;45,883303;3,6410975;2,1600975;667,943963
04/01/2023;138,136315;18,004257;169,747896;14,519674;-;100,185543;65,706889;56,871036;4,732083;10,645037;48,252588;3,527471;2,160476;632,489265
05/01/2023;143,068095;12,800362;169,859286;8,15738;-;131,40182;43,799077;56,86875;5,249039;10,696109;48,285427;3,575704;2,227032;635,988081
06/01/2023;131,077481;12,027723;169,84035;5,584792;-;75,076654;84,450914;53,780714;4,585892;11,104448;43,991611;3,5456355;2,2596935;597,325908
07/01/2023;74,248704;20,475111;136,141194;4,06955;-;46,935911;304,789459;34,82264;0,87313;6,696766;30,430687;3,371349;2,226529;665,08103
08/01/2023;81,027369;7,19313;119,629148;5,733502;-;41,137128;373,638524;16,49828;0,059494;6,194329;28,930205;3,330366;2,092954;685,464429
09/01/2023;102,292094;19,281589;149,044166;7,139193;-;63,597817;299,320208;48,51443;1,020745;9,21347;43,598125;3,5487275;2,1340615;748,704626
10/01/2023;148,856065;15,272125;169,479445;14,173941;-;68,443435;208,748549;44,999994;2,376949;11,413142;50,161945;3,67383;2,205108;739,804528
11/01/2023;145,853971;20,630431;169,679709;15,582585;-;76,297389;197,816561;35,862774;0,943425;11,722468;47,223178;3,7486615;2,3058535;727,667006
12/01/2023;157,861764;17,415556;169,676923;14,308301;-;77,645516;148,098947;59,3334;3,836722;11,257041;49,761051;3,6270765;2,2411885;715,063486
13/01/2023;161,573437;23,255917;169,690963;12,906614;-;81,540907;150,789468;54,119699;2,668354;11,201855;47,321278;3,579175;2,303554;720,951221
14/01/2023;138,372765;14,620284;169,779379;5,918403;-;49,787764;180,267187;56,183402;3,407815;10,200979;34,414951;3,5455205;2,2169135;668,715363
15/01/2023;78,301851;14,5122;169,471037;6,102014;-;34,358533;286,65125;40,893508;2,302046;9,677658;30,810638;3,316837;2,190384;678,587956
16/01/2023;96,253583;29,220967;151,789104;6,616388;-;34,912666;399,213913;29,536633;0,580014;6,601706;30,790521;3,161888;2,063058;790,740441
17/01/2023;92,839974;23,188014;151,427463;7,049599;-;27,654339;390,43588;36,859083;0,124171;5,439255;28,779707;2,8978405;2,0672295;768,762555
18/01/2023;101,39172;25,528701;153,97156;7,306975;-;43,099981;356,497002;55,95901;3,684869;5,401184;30,314397;2,7269715;2,0881955;787,970566
19/01/2023;103,957461;22,035722;169,517736;7,895022;-;39,948414;369,906931;59,87274;4,123896;5,503458;31,404218;2,7819835;2,0292375;818,976819
20/01/2023;124,720748;19,848476;169,90604;8,603483;-;82,865526;270,678113;53,057125;1,928906;8,991137;42,102268;3,168077;2,140244;788,010143
21/01/2023;108,134536;14,130916;170,194031;6,707082;-;42,826007;267,278382;58,955591;2,493303;9,604903;36,426624;3,118386;2,164535;722,034296
22/01/2023;100,416389;17,361618;170,130441;6,11376;-;43,145711;289,047277;73,828755;8,608993;8,50086;30,972597;2,6288475;1,7839045;752,539153
23/01/2023;129,114538;21,967131;170,180516;8,459838;-;64,285768;309,744749;72,665782;8,029282;9,391899;37,55637;2,2821325;1,3417565;835,019762
24/01/2023;156,809623;26,3214;170,069562;10,667999;-;100,117508;234,728064;60,780521;5,562049;10,073173;41,914884;2,460046;1,270945;820,775774
25/01/2023;163,734725;15,551696;170,087794;13,501652;-;86,876289;219,241479;73,017405;6,7718;11,025235;44,020001;2,5509335;1,2728545;807,651864
26/01/2023;159,459152;14,732261;170,060867;13,360008;-;68,314274;311,218928;52,978256;1,834559;10,814047;42,599193;2,298437;1,12177;848,791752
27/01/2023;140,81627;16,355019;170,108286;9,102495;-;57,894953;338,575819;75,734598;6,864319;10,094902;36,29942;2,868396;1,165713;865,88019
28/01/2023;107,05527;17,841376;170,111057;6,088842;-;46,812823;301,908992;82,156727;8,876719;9,588367;33,568376;2,188705;1,297689;787,494943
29/01/2023;105,727592;18,84153;170,126782;6,040975;-;65,889087;230,168981;79,217609;8,461251;9,884992;35,754631;2,4896645;1,6257235;734,228818
30/01/2023;155,803535;13,722603;170,094898;12,569575;-;125,709967;154,95099;79,577411;7,323485;11,386573;49,171731;3,0395625;1,9078245;785,258155
